epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.688720,0.588009,0.745049,0.803378
2,0.00100000,0.675782,0.581408,0.742221,0.808354
3,0.00100000,0.672191,0.594059,0.788639,0.844217
4,0.00100000,0.669026,0.595710,0.769628,0.830853
5,0.00100000,0.664302,0.638064,0.805085,0.852269
6,0.00100000,0.661250,0.616062,0.748634,0.809922
7,0.00100000,0.655270,0.635864,0.776922,0.833098
8,0.00050000,0.652954,0.594609,0.759114,0.814634
9,0.00050000,0.647361,0.626513,0.787135,0.829455
10,0.00050000,0.638679,0.631463,0.780351,0.829630
