epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00200000,0.692760,0.550685,0.597107,0.674026
2,0.00200000,0.677812,0.571507,0.612442,0.697797
3,0.00200000,0.674148,0.561644,0.587195,0.681561
4,0.00200000,0.672177,0.589041,0.622338,0.708458
5,0.00200000,0.668443,0.599452,0.633703,0.703024
6,0.00200000,0.670722,0.598356,0.604396,0.694814
7,0.00200000,0.667629,0.605479,0.628858,0.709530
8,0.00100000,0.668685,0.596712,0.627432,0.705341
9,0.00100000,0.663532,0.596712,0.625083,0.704090
10,0.00100000,0.662174,0.620822,0.627710,0.704294
