factor,key,value,n_seeds,n_success,success_rate,mean_best_ndcg10,std_best_ndcg10,mean_best_ndcg20,std_best_ndcg20,mean_best_pair_acc,std_best_pair_acc,mean_last_train_loss,std_last_train_loss,mean_last_epoch
optimizer_lr,<multi>,adamw_lr1e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adamw_lr2e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adamw_lr5e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adamw_lr8e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adamw_lr1e-3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adamw_lr2e-3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,radam_lr1e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,radam_lr2e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,radam_lr5e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,radam_lr8e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,radam_lr1e-3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,radam_lr2e-3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adam_lr1e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adam_lr2e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adam_lr5e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adam_lr8e-4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adam_lr1e-3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
optimizer_lr,<multi>,adam_lr2e-3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
