epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.696178,0.540274,0.602763,0.675767
2,0.00100000,0.679165,0.561644,0.609351,0.694503
3,0.00100000,0.678552,0.549589,0.586390,0.675174
4,0.00100000,0.676214,0.578630,0.580458,0.672549
5,0.00050000,0.673974,0.560000,0.590534,0.683831
6,0.00050000,0.668533,0.586301,0.621620,0.698183
7,0.00050000,0.666896,0.616438,0.647444,0.700760
8,0.00050000,0.666430,0.571507,0.617253,0.693343
9,0.00050000,0.666279,0.585205,0.637917,0.692166
10,0.00025000,0.664414,0.618630,0.637429,0.686144
11,0.00025000,0.653010,0.609863,0.650819,0.701710
12,0.00025000,0.646527,0.589589,0.654991,0.709207
13,0.00025000,0.640033,0.615342,0.644932,0.690470
14,0.00025000,0.634453,0.630685,0.688753,0.721228
15,0.00025000,0.623029,0.608767,0.625182,0.660240
16,0.00025000,0.621680,0.638356,0.678944,0.713317
17,0.00012500,0.616350,0.635068,0.671189,0.699299
18,0.00012500,0.609343,0.636164,0.676117,0.704708
19,0.00012500,0.605944,0.635068,0.649033,0.684388
