epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.692633,0.590759,0.732989,0.786387
2,0.00100000,0.677179,0.592409,0.778642,0.834076
3,0.00100000,0.671597,0.602860,0.775687,0.836584
4,0.00100000,0.667375,0.613861,0.800971,0.850405
5,0.00100000,0.662622,0.608911,0.794419,0.849833
6,0.00100000,0.656100,0.581958,0.777665,0.838724
7,0.00100000,0.655097,0.625413,0.807212,0.845410
8,0.00100000,0.650031,0.619912,0.804937,0.844417
9,0.00100000,0.646013,0.624862,0.791886,0.836202
10,0.00050000,0.645421,0.619912,0.781895,0.827195
11,0.00050000,0.634016,0.644664,0.804214,0.845782
12,0.00050000,0.629080,0.623212,0.769615,0.816739
