epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.691672,0.549041,0.608430,0.682888
2,0.00100000,0.676234,0.563288,0.618007,0.694287
3,0.00100000,0.672737,0.597808,0.624834,0.685958
4,0.00100000,0.672385,0.589589,0.633169,0.703054
5,0.00100000,0.668609,0.603836,0.657783,0.716136
6,0.00100000,0.665030,0.610411,0.682411,0.724568
7,0.00100000,0.660838,0.595068,0.674802,0.721386
8,0.00100000,0.660584,0.603288,0.683378,0.737603
9,0.00100000,0.658470,0.569315,0.682666,0.721835
10,0.00100000,0.655291,0.569863,0.691742,0.727562
11,0.00100000,0.648605,0.600000,0.708569,0.731269
12,0.00100000,0.644801,0.543562,0.636025,0.683065
13,0.00100000,0.642329,0.587945,0.710675,0.737474
14,0.00100000,0.637334,0.596164,0.717345,0.747200
15,0.00100000,0.636178,0.533151,0.629229,0.683460
16,0.00100000,0.627133,0.567123,0.645662,0.682876
17,0.00050000,0.607427,0.611507,0.680768,0.717650
18,0.00050000,0.593291,0.616986,0.683086,0.707945
19,0.00050000,0.573375,0.602740,0.658632,0.683964
