epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.687710,0.607068,0.657837,0.693886
2,0.00120000,0.675320,0.615482,0.694911,0.711771
3,0.00120000,0.669085,0.631468,0.689732,0.705906
4,0.00120000,0.663306,0.615902,0.618108,0.659257
5,0.00060000,0.654641,0.628944,0.579123,0.624635
6,0.00060000,0.631233,0.654607,0.645516,0.662332
7,0.00060000,0.620438,0.669752,0.634843,0.660914
8,0.00030000,0.610841,0.664283,0.625381,0.662330
9,0.00030000,0.600612,0.665545,0.638138,0.661293
10,0.00030000,0.592529,0.671014,0.646700,0.666409
