epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00080000,0.694080,0.534247,0.603255,0.672536
2,0.00080000,0.679934,0.552329,0.596739,0.680567
3,0.00080000,0.674669,0.553973,0.588001,0.675847
4,0.00080000,0.673084,0.570959,0.610305,0.695475
5,0.00080000,0.669838,0.581918,0.616037,0.700549
6,0.00080000,0.670466,0.574247,0.610022,0.695755
7,0.00080000,0.666068,0.592329,0.609126,0.700041
8,0.00080000,0.664631,0.604932,0.632321,0.710672
9,0.00080000,0.658395,0.612603,0.599611,0.675091
10,0.00080000,0.649703,0.629589,0.649961,0.696201
11,0.00080000,0.644173,0.618082,0.644316,0.711563
12,0.00080000,0.645912,0.618082,0.617100,0.670129
13,0.00080000,0.639030,0.648219,0.662816,0.712833
14,0.00080000,0.635847,0.627397,0.658888,0.703814
15,0.00080000,0.633572,0.636164,0.662405,0.708187
16,0.00040000,0.633557,0.640548,0.660086,0.706543
17,0.00040000,0.627888,0.628493,0.649073,0.689303
18,0.00040000,0.626994,0.629589,0.638533,0.683695
