epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.690878,0.528767,0.605900,0.673200
2,0.00100000,0.677714,0.541918,0.601233,0.677933
3,0.00100000,0.673630,0.557260,0.602445,0.690254
4,0.00100000,0.672775,0.570411,0.606035,0.693755
5,0.00100000,0.668132,0.603836,0.604463,0.686846
6,0.00100000,0.666527,0.631781,0.610454,0.685429
7,0.00100000,0.659194,0.620274,0.616711,0.681221
8,0.00100000,0.650663,0.624658,0.668015,0.725567
9,0.00100000,0.641255,0.647123,0.707674,0.742515
10,0.00100000,0.631987,0.610411,0.662967,0.686877
11,0.00100000,0.631426,0.633973,0.708755,0.734142
12,0.00100000,0.628112,0.601096,0.682041,0.707789
13,0.00100000,0.616939,0.618082,0.654378,0.695964
14,0.00050000,0.617181,0.658630,0.708755,0.734130
15,0.00050000,0.601548,0.629041,0.653355,0.683153
16,0.00050000,0.597942,0.632877,0.676284,0.696599
