epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.686346,0.569639,0.735146,0.797406
2,0.00120000,0.672195,0.576653,0.720134,0.798443
3,0.00120000,0.667711,0.595190,0.782269,0.824022
4,0.00120000,0.665362,0.570641,0.740799,0.803145
5,0.00120000,0.661039,0.615731,0.800361,0.827435
6,0.00120000,0.656867,0.595190,0.758217,0.819277
7,0.00120000,0.650883,0.580160,0.712279,0.775744
8,0.00060000,0.639997,0.617234,0.763224,0.802874
9,0.00060000,0.627284,0.614228,0.708879,0.772992
10,0.00060000,0.624144,0.610721,0.717505,0.770799
11,0.00030000,0.617615,0.610721,0.712403,0.761172
