epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.692803,0.570957,0.705158,0.786962
2,0.00100000,0.679628,0.601210,0.757294,0.817155
3,0.00100000,0.671071,0.609461,0.791524,0.854602
4,0.00100000,0.669493,0.602860,0.789173,0.852680
5,0.00100000,0.665206,0.595710,0.767970,0.841578
6,0.00100000,0.664520,0.602310,0.797800,0.854422
7,0.00100000,0.656451,0.606161,0.781803,0.836681
8,0.00100000,0.654705,0.612211,0.755449,0.811208
9,0.00050000,0.647892,0.605061,0.747687,0.791320
10,0.00050000,0.644901,0.603960,0.797873,0.826097
11,0.00050000,0.640468,0.615512,0.766792,0.801349
