epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.694040,0.540274,0.606059,0.680025
2,0.00100000,0.677680,0.561644,0.606612,0.687031
3,0.00100000,0.675201,0.613151,0.593306,0.668112
4,0.00100000,0.673081,0.585205,0.612196,0.686162
5,0.00100000,0.670198,0.604932,0.632809,0.694950
6,0.00100000,0.666316,0.625205,0.690515,0.732015
7,0.00100000,0.659792,0.592877,0.660052,0.709778
8,0.00100000,0.656182,0.637808,0.684921,0.734802
9,0.00050000,0.647693,0.629589,0.653283,0.706489
10,0.00050000,0.638316,0.608219,0.658291,0.704301
11,0.00050000,0.624021,0.659178,0.673528,0.702983
