epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.692633,0.590759,0.732989,0.786387
2,0.00100000,0.677174,0.594059,0.773334,0.831536
3,0.00100000,0.672376,0.605611,0.773989,0.834404
4,0.00100000,0.667679,0.601210,0.799776,0.837703
5,0.00100000,0.666194,0.607811,0.797920,0.853687
6,0.00100000,0.660048,0.614411,0.804165,0.858410
7,0.00100000,0.656189,0.629263,0.801931,0.851015
8,0.00100000,0.648420,0.633663,0.795136,0.837919
9,0.00050000,0.647998,0.602860,0.766222,0.817659
10,0.00050000,0.636613,0.585809,0.775189,0.818644
11,0.00050000,0.631535,0.580858,0.777245,0.817274
