epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.691341,0.545753,0.603898,0.679528
2,0.00100000,0.674983,0.564384,0.618972,0.694386
3,0.00100000,0.672711,0.619178,0.636722,0.696324
4,0.00100000,0.670315,0.604932,0.624405,0.692799
5,0.00100000,0.668431,0.608767,0.635433,0.692411
6,0.00100000,0.665769,0.595616,0.659647,0.705287
7,0.00100000,0.660142,0.563836,0.635751,0.694828
8,0.00100000,0.670635,0.561644,0.634894,0.695349
9,0.00050000,0.668279,0.554521,0.610424,0.670948
10,0.00050000,0.658500,0.585205,0.635378,0.685112
11,0.00050000,0.650334,0.601644,0.651592,0.707654
