epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.689828,0.604375,0.674526,0.689116
2,0.00120000,0.670916,0.624375,0.675738,0.707114
3,0.00120000,0.667287,0.611250,0.653512,0.687065
4,0.00120000,0.665373,0.630625,0.694360,0.705858
5,0.00120000,0.661648,0.603125,0.659853,0.675700
6,0.00120000,0.658120,0.623750,0.667579,0.690594
7,0.00120000,0.652321,0.624375,0.687700,0.707468
8,0.00048000,0.647864,0.636250,0.681570,0.713427
9,0.00048000,0.636543,0.638125,0.635625,0.671760
10,0.00048000,0.623542,0.646250,0.631322,0.667327
11,0.00048000,0.618321,0.659375,0.594156,0.629627
12,0.00019200,0.611198,0.661250,0.582735,0.622397
