factor,key,value,seed,return_code,best_epoch,best_ndcg10,best_ndcg20,best_pair_acc,last_epoch,last_train_loss,run_dir,config_path
d_model,model.d_model,32,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/d_model/value_32/seed_42,outputs/ablation/ablation_20260318_151120/configs/d_model__model.d_model=32__seed=42.yaml
d_model,model.d_model,48,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/d_model/value_48/seed_42,outputs/ablation/ablation_20260318_151120/configs/d_model__model.d_model=48__seed=42.yaml
gnn_layers,model.gnn_layers,2,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/gnn_layers/value_2/seed_42,outputs/ablation/ablation_20260318_151120/configs/gnn_layers__model.gnn_layers=2__seed=42.yaml
gnn_layers,model.gnn_layers,3,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/gnn_layers/value_3/seed_42,outputs/ablation/ablation_20260318_151120/configs/gnn_layers__model.gnn_layers=3__seed=42.yaml
dropout_floor,regularization.min_dropout,0.15,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/dropout_floor/value_0.15/seed_42,outputs/ablation/ablation_20260318_151120/configs/dropout_floor__regularization.min_dropout=0.15__seed=42.yaml
dropout_floor,regularization.min_dropout,0.25,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/dropout_floor/value_0.25/seed_42,outputs/ablation/ablation_20260318_151120/configs/dropout_floor__regularization.min_dropout=0.25__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.0005,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/weight_decay_floor/value_0.0005/seed_42,outputs/ablation/ablation_20260318_151120/configs/weight_decay_floor__regularization.min_weight_decay=0.0005__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.001,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260318_151120/runs/weight_decay_floor/value_0.001/seed_42,outputs/ablation/ablation_20260318_151120/configs/weight_decay_floor__regularization.min_weight_decay=0.001__seed=42.yaml
