factor,key,value,n_seeds,n_success,success_rate,mean_best_ndcg10,std_best_ndcg10,mean_best_ndcg20,std_best_ndcg20,mean_best_pair_acc,std_best_pair_acc,mean_last_train_loss,std_last_train_loss,mean_last_epoch
dropout_floor,regularization.min_dropout,0.22,3,3,1,0.6869,0.0164,0.7064,0.0216,0.6152,0.0126,0.637,0.0186,8.3333
dropout_floor,regularization.min_dropout,0.25,3,3,1,0.6859,0.0108,0.6994,0.0098,0.6118,0.0152,0.6445,0.0165,7.6667
dropout_floor,regularization.min_dropout,0.28,3,3,1,0.6757,0.0145,0.6994,0.0072,0.609,0.0184,0.648,0.014,7.3333
early_stop_patience,early_stopping.patience,8,3,3,1,0.6897,0.0058,0.7062,0.0081,0.6033,0.0122,0.611,0.0172,11.3333
early_stop_patience,early_stopping.patience,5,3,3,1,0.6894,0.0071,0.7078,0.0048,0.6057,0.0088,0.6344,0.0049,8
early_stop_patience,early_stopping.patience,6,3,3,1,0.6832,0.0101,0.7005,0.0114,0.6047,0.0094,0.6331,0.0128,8.3333
scheduler_factor,scheduler.factor,0.4,3,3,1,0.6959,0.0105,0.7129,0.0129,0.6193,0.0244,0.6047,0.0328,12
scheduler_factor,scheduler.factor,0.7,3,3,1,0.6874,0.0087,0.7029,0.0121,0.6059,0.0084,0.637,0.0115,7.3333
scheduler_factor,scheduler.factor,0.5,3,3,1,0.6837,0.0097,0.6996,0.0114,0.6009,0.0139,0.6305,0.0157,8.3333
weight_decay_floor,regularization.min_weight_decay,0.0005,3,3,1,0.6864,0.0125,0.6969,0.0103,0.6058,0.0214,0.6318,0.0175,8.6667
weight_decay_floor,regularization.min_weight_decay,0.0008,3,3,1,0.6829,0.0041,0.6967,0.0069,0.61,0.0118,0.636,0.0173,7.6667
weight_decay_floor,regularization.min_weight_decay,0.0003,3,3,1,0.681,0.0234,0.7,0.0133,0.6083,0.0192,0.6308,0.0171,10.3333
