factor,key,value,n_seeds,n_success,success_rate,mean_best_ndcg10,std_best_ndcg10,mean_best_ndcg20,std_best_ndcg20,mean_best_pair_acc,std_best_pair_acc,mean_last_train_loss,std_last_train_loss,mean_last_epoch
optimizer_lr,<multi>,adamw_lr1e-3,1,1,1.0,0.739631,0.0,0.751454,0.0,0.639452,0.0,0.613039,0.0,13.0
optimizer_lr,<multi>,radam_lr1e-3,1,1,1.0,0.690501,0.0,0.748062,0.0,0.644932,0.0,0.619553,0.0,19.0
optimizer_lr,<multi>,adamw_lr2e-3,1,1,1.0,0.686564,0.0,0.718767,0.0,0.632329,0.0,0.646138,0.0,12.0
optimizer_lr,<multi>,adamw_lr8e-4,1,1,1.0,0.677814,0.0,0.722881,0.0,0.619726,0.0,0.61006,0.0,12.0
optimizer_lr,<multi>,adam_lr8e-4,1,1,1.0,0.662816,0.0,0.712833,0.0,0.648219,0.0,0.626994,0.0,18.0
optimizer_lr,<multi>,adam_lr1e-3,1,1,1.0,0.653967,0.0,0.708441,0.0,0.621918,0.0,0.632216,0.0,20.0
optimizer_lr,<multi>,radam_lr2e-3,1,1,1.0,0.638873,0.0,0.70173,0.0,0.537534,0.0,0.671347,0.0,6.0
optimizer_lr,<multi>,adam_lr2e-3,1,1,1.0,0.633703,0.0,0.703024,0.0,0.599452,0.0,0.662174,0.0,10.0
optimizer_lr,<multi>,radam_lr2e-4,1,1,1.0,0.616892,0.0,0.672216,0.0,0.534795,0.0,0.676832,0.0,10.0
optimizer_lr,<multi>,adam_lr2e-4,1,1,1.0,0.616027,0.0,0.678804,0.0,0.54411,0.0,0.67298,0.0,7.0
optimizer_lr,<multi>,radam_lr8e-4,1,1,1.0,0.612189,0.0,0.670623,0.0,0.532603,0.0,0.669885,0.0,7.0
optimizer_lr,<multi>,adam_lr1e-4,1,1,1.0,0.611844,0.0,0.670216,0.0,0.529863,0.0,0.675053,0.0,11.0
optimizer_lr,<multi>,adamw_lr5e-4,1,1,1.0,0.61015,0.0,0.667299,0.0,0.523836,0.0,0.669437,0.0,6.0
optimizer_lr,<multi>,adamw_lr2e-4,1,1,1.0,0.610076,0.0,0.665149,0.0,0.524932,0.0,0.671842,0.0,7.0
optimizer_lr,<multi>,adamw_lr1e-4,1,1,1.0,0.609846,0.0,0.667614,0.0,0.526575,0.0,0.674415,0.0,9.0
optimizer_lr,<multi>,radam_lr1e-4,1,1,1.0,0.609792,0.0,0.666223,0.0,0.528219,0.0,0.679368,0.0,16.0
optimizer_lr,<multi>,radam_lr5e-4,1,1,1.0,0.608892,0.0,0.677829,0.0,0.548493,0.0,0.670413,0.0,9.0
optimizer_lr,<multi>,adam_lr5e-4,1,1,1.0,0.607588,0.0,0.672179,0.0,0.538082,0.0,0.67162,0.0,6.0
