epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.693463,0.528767,0.610728,0.674427
2,0.00100000,0.680318,0.530959,0.598710,0.669550
3,0.00100000,0.675076,0.539726,0.605440,0.676494
4,0.00100000,0.670795,0.575342,0.621132,0.683359
5,0.00100000,0.667891,0.555068,0.615968,0.682180
6,0.00100000,0.664267,0.586849,0.637484,0.698990
7,0.00100000,0.658468,0.581370,0.626644,0.679666
8,0.00100000,0.649375,0.603836,0.658592,0.690648
9,0.00100000,0.639514,0.604932,0.621283,0.674083
10,0.00100000,0.632118,0.604384,0.587087,0.659348
11,0.00050000,0.618306,0.589041,0.638258,0.689368
12,0.00050000,0.603438,0.596712,0.626248,0.681756
13,0.00050000,0.593441,0.601644,0.603816,0.662084
