factor,key,value,seed,return_code,best_epoch,best_ndcg10,best_ndcg20,best_pair_acc,last_epoch,last_train_loss,run_dir,config_path
early_stop_patience,early_stopping.patience,5,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_5/seed_42,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=5__seed=42.yaml
early_stop_patience,early_stopping.patience,5,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_5/seed_43,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=5__seed=43.yaml
early_stop_patience,early_stopping.patience,5,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_5/seed_44,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=5__seed=44.yaml
early_stop_patience,early_stopping.patience,6,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_6/seed_42,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=6__seed=42.yaml
early_stop_patience,early_stopping.patience,6,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_6/seed_43,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=6__seed=43.yaml
early_stop_patience,early_stopping.patience,6,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_6/seed_44,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=6__seed=44.yaml
early_stop_patience,early_stopping.patience,8,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_8/seed_42,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=8__seed=42.yaml
early_stop_patience,early_stopping.patience,8,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_8/seed_43,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=8__seed=43.yaml
early_stop_patience,early_stopping.patience,8,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/early_stop_patience/value_8/seed_44,outputs/ablation/ablation_20260319_174800/configs/early_stop_patience__early_stopping.patience=8__seed=44.yaml
scheduler_factor,scheduler.factor,0.4,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.4/seed_42,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.4__seed=42.yaml
scheduler_factor,scheduler.factor,0.4,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.4/seed_43,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.4__seed=43.yaml
scheduler_factor,scheduler.factor,0.4,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.4/seed_44,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.4__seed=44.yaml
scheduler_factor,scheduler.factor,0.5,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.5/seed_42,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.5__seed=42.yaml
scheduler_factor,scheduler.factor,0.5,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.5/seed_43,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.5__seed=43.yaml
scheduler_factor,scheduler.factor,0.5,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.5/seed_44,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.5__seed=44.yaml
scheduler_factor,scheduler.factor,0.7,42,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.7/seed_42,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.7__seed=42.yaml
scheduler_factor,scheduler.factor,0.7,43,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.7/seed_43,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.7__seed=43.yaml
scheduler_factor,scheduler.factor,0.7,44,0,-1,0.0,0.0,0.0,-1,0.0,outputs/ablation/ablation_20260319_174800/runs/scheduler_factor/value_0.7/seed_44,outputs/ablation/ablation_20260319_174800/configs/scheduler_factor__scheduler.factor=0.7__seed=44.yaml
