epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.689852,0.606875,0.675481,0.689439
2,0.00120000,0.670194,0.631875,0.669401,0.697382
3,0.00120000,0.666988,0.615625,0.641283,0.679675
4,0.00120000,0.663007,0.600625,0.649698,0.673619
5,0.00048000,0.662618,0.598125,0.608140,0.642008
6,0.00048000,0.660807,0.611250,0.667387,0.683084
7,0.00048000,0.654541,0.600625,0.662878,0.684553
8,0.00048000,0.653892,0.604375,0.656786,0.682372
9,0.00019200,0.651952,0.594375,0.650868,0.677494
