epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00080000,0.688631,0.564128,0.718302,0.781622
2,0.00080000,0.672876,0.585671,0.725435,0.805873
3,0.00080000,0.669336,0.595691,0.766732,0.826610
4,0.00080000,0.664864,0.575651,0.757107,0.814378
5,0.00080000,0.662939,0.604709,0.799327,0.838533
6,0.00080000,0.660706,0.593186,0.763637,0.821991
7,0.00080000,0.657358,0.590180,0.751155,0.816147
8,0.00040000,0.654034,0.607715,0.778758,0.828438
9,0.00040000,0.644192,0.597194,0.744562,0.805256
10,0.00040000,0.640035,0.612725,0.739189,0.805749
11,0.00020000,0.635579,0.612224,0.724788,0.787162
