epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.689039,0.616316,0.660873,0.699071
2,0.00120000,0.674834,0.624832,0.669148,0.693244
3,0.00120000,0.671079,0.620798,0.677743,0.689823
4,0.00120000,0.668304,0.615419,0.690010,0.714814
5,0.00120000,0.665524,0.589422,0.677489,0.695468
6,0.00120000,0.663145,0.604213,0.683516,0.707427
7,0.00060000,0.656832,0.594801,0.650319,0.684558
8,0.00060000,0.645480,0.600628,0.661173,0.678759
9,0.00060000,0.634403,0.618108,0.639744,0.671275
10,0.00030000,0.631974,0.638279,0.661885,0.680388
