epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00020000,0.701694,0.492055,0.527584,0.592152
2,0.00020000,0.698154,0.511233,0.517267,0.597847
3,0.00020000,0.694385,0.523836,0.527226,0.612912
4,0.00020000,0.692932,0.524932,0.578441,0.647970
5,0.00020000,0.689039,0.534795,0.616892,0.672216
6,0.00020000,0.685421,0.529863,0.606690,0.665831
7,0.00020000,0.681125,0.528219,0.607963,0.664918
8,0.00010000,0.679723,0.533699,0.597951,0.669806
9,0.00010000,0.676593,0.539726,0.598590,0.672008
10,0.00010000,0.676832,0.538630,0.600702,0.672711
