epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00080000,0.690798,0.542434,0.613484,0.677092
2,0.00080000,0.678599,0.572086,0.611983,0.697586
3,0.00080000,0.673693,0.618098,0.660594,0.722129
4,0.00080000,0.667766,0.614519,0.659345,0.726660
5,0.00080000,0.660316,0.653885,0.669079,0.724623
6,0.00080000,0.646248,0.652352,0.700971,0.743769
7,0.00080000,0.637154,0.660532,0.706381,0.735443
8,0.00080000,0.630703,0.646728,0.649594,0.685728
9,0.00080000,0.625974,0.640082,0.650823,0.689154
10,0.00040000,0.617513,0.667178,0.652910,0.682156
11,0.00040000,0.605914,0.665133,0.651133,0.688004
12,0.00040000,0.597841,0.662065,0.650072,0.689743
13,0.00020000,0.592514,0.684560,0.651822,0.685876
