epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.687912,0.605000,0.669703,0.691882
2,0.00120000,0.673601,0.610625,0.641058,0.676597
3,0.00120000,0.670842,0.592500,0.646414,0.680739
4,0.00120000,0.670676,0.583125,0.618625,0.664477
5,0.00048000,0.665560,0.593750,0.582557,0.633393
6,0.00048000,0.659841,0.595000,0.607017,0.659926
7,0.00048000,0.655240,0.613125,0.586745,0.635484
8,0.00048000,0.649373,0.603125,0.535568,0.586098
9,0.00019200,0.638505,0.650000,0.564256,0.615687
