epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.691341,0.545753,0.603898,0.679528
2,0.00100000,0.675013,0.565479,0.616582,0.695837
3,0.00100000,0.672169,0.600000,0.622828,0.687390
4,0.00100000,0.670213,0.629589,0.632727,0.694340
5,0.00100000,0.670002,0.612603,0.678712,0.724716
6,0.00100000,0.663266,0.648219,0.704146,0.746728
7,0.00100000,0.654454,0.604932,0.671696,0.714665
8,0.00100000,0.655390,0.600548,0.640612,0.698169
9,0.00050000,0.649126,0.600000,0.661361,0.706471
10,0.00050000,0.638894,0.590137,0.651669,0.706211
11,0.00050000,0.631253,0.592329,0.662033,0.705658
