epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.699303,0.518356,0.556461,0.631257
2,0.00100000,0.693190,0.528219,0.604740,0.665717
3,0.00100000,0.682318,0.528767,0.595561,0.663367
4,0.00100000,0.677250,0.562740,0.605109,0.689438
5,0.00100000,0.672893,0.564932,0.609502,0.692569
6,0.00100000,0.674562,0.563836,0.605413,0.689829
7,0.00100000,0.668986,0.585205,0.593975,0.682556
8,0.00100000,0.670273,0.569863,0.619421,0.700977
9,0.00100000,0.665835,0.587945,0.630565,0.706989
10,0.00100000,0.663675,0.627945,0.655274,0.717176
11,0.00100000,0.662584,0.641096,0.649683,0.713173
12,0.00100000,0.658378,0.649315,0.614571,0.687958
13,0.00100000,0.648061,0.642740,0.662371,0.723178
14,0.00100000,0.641323,0.644932,0.690501,0.748062
15,0.00100000,0.633250,0.667397,0.670994,0.726263
16,0.00100000,0.633391,0.668493,0.656072,0.715108
17,0.00050000,0.626823,0.670137,0.651155,0.704736
18,0.00050000,0.621434,0.672329,0.680666,0.717660
19,0.00050000,0.619553,0.640548,0.662880,0.698904
