factor,key,value,seed,return_code,best_epoch,best_ndcg10,best_ndcg20,best_pair_acc,last_epoch,last_train_loss,run_dir,config_path
gnn_layers,model.gnn_layers,2,42,0,2,0.671396,0.67636,0.600209,5,0.671857,outputs/ablation/ablation_20260318_151207/runs/gnn_layers/value_2/seed_42,outputs/ablation/ablation_20260318_151207/configs/gnn_layers__model.gnn_layers=2__seed=42.yaml
gnn_layers,model.gnn_layers,3,42,0,3,0.653549,0.682983,0.604906,6,0.666919,outputs/ablation/ablation_20260318_151207/runs/gnn_layers/value_3/seed_42,outputs/ablation/ablation_20260318_151207/configs/gnn_layers__model.gnn_layers=3__seed=42.yaml
