epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.689868,0.588009,0.744248,0.806615
2,0.00100000,0.673754,0.581958,0.728871,0.805244
3,0.00100000,0.669058,0.590209,0.751832,0.820094
4,0.00100000,0.666893,0.584708,0.765791,0.824661
5,0.00100000,0.666588,0.613311,0.805361,0.851318
6,0.00100000,0.662756,0.616062,0.799969,0.844879
7,0.00100000,0.651029,0.540704,0.735941,0.794210
8,0.00050000,0.647471,0.543454,0.692466,0.760332
9,0.00050000,0.633112,0.594609,0.735325,0.788845
10,0.00050000,0.628002,0.628163,0.730614,0.787673
