epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.690577,0.571080,0.640888,0.666915
2,0.00100000,0.677130,0.597460,0.647459,0.682653
3,0.00100000,0.671736,0.608696,0.645208,0.685600
4,0.00100000,0.670611,0.613581,0.640874,0.673784
5,0.00100000,0.666375,0.609184,0.656329,0.686686
6,0.00100000,0.665880,0.610650,0.669011,0.694635
7,0.00100000,0.663088,0.623840,0.646245,0.663925
8,0.00100000,0.655178,0.617000,0.663146,0.684117
9,0.00050000,0.644389,0.647777,0.634746,0.653440
10,0.00050000,0.629479,0.647289,0.637192,0.660135
11,0.00050000,0.628020,0.651197,0.635423,0.660631
