epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00010000,0.699583,0.509041,0.518850,0.610440
2,0.00010000,0.695283,0.511781,0.541471,0.622625
3,0.00010000,0.691734,0.525479,0.595035,0.658576
4,0.00010000,0.688970,0.542466,0.608750,0.675233
5,0.00010000,0.683603,0.532603,0.611252,0.669885
6,0.00010000,0.681455,0.529863,0.611844,0.670216
7,0.00010000,0.679144,0.535342,0.600238,0.671510
8,0.00010000,0.678514,0.539726,0.598418,0.671670
9,0.00005000,0.675631,0.533699,0.601617,0.674376
10,0.00005000,0.675725,0.535890,0.602538,0.674697
11,0.00005000,0.675053,0.540822,0.606544,0.678129
