epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.687483,0.610854,0.658139,0.699178
2,0.00120000,0.676425,0.615902,0.693918,0.711350
3,0.00120000,0.667229,0.628103,0.673445,0.697072
4,0.00120000,0.665172,0.614220,0.669575,0.702874
5,0.00120000,0.662205,0.626420,0.700006,0.717635
6,0.00120000,0.657691,0.639462,0.688631,0.717741
7,0.00120000,0.650282,0.636096,0.675704,0.682787
8,0.00060000,0.637822,0.645772,0.593671,0.616454
9,0.00060000,0.623884,0.663441,0.607711,0.645297
10,0.00060000,0.617204,0.668910,0.630385,0.658995
