epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.699033,0.594990,0.649283,0.677042
2,0.00100000,0.681868,0.604384,0.650032,0.684224
3,0.00100000,0.679034,0.603862,0.652215,0.683925
4,0.00100000,0.675498,0.600731,0.639148,0.675027
5,0.00100000,0.675346,0.610647,0.659104,0.690598
6,0.00100000,0.669570,0.601775,0.682433,0.681151
7,0.00100000,0.668511,0.620564,0.698020,0.704981
8,0.00100000,0.669951,0.618998,0.654461,0.687064
9,0.00050000,0.665644,0.613257,0.662647,0.697797
10,0.00050000,0.654827,0.609603,0.663184,0.699960
