epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00080000,0.692468,0.541370,0.602727,0.673921
2,0.00080000,0.678354,0.548493,0.590574,0.679505
3,0.00080000,0.674091,0.558904,0.586262,0.673455
4,0.00080000,0.672524,0.579726,0.604759,0.693423
5,0.00080000,0.668282,0.595068,0.590737,0.670594
6,0.00080000,0.659587,0.613151,0.621101,0.677990
7,0.00080000,0.649262,0.619726,0.677814,0.722881
8,0.00080000,0.640846,0.643288,0.677006,0.712124
9,0.00080000,0.632035,0.637808,0.650404,0.685478
10,0.00040000,0.625425,0.638904,0.664939,0.691128
11,0.00040000,0.615574,0.622466,0.642325,0.670213
12,0.00040000,0.610060,0.643836,0.666375,0.691049
