epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.687897,0.581958,0.732235,0.799852
2,0.00100000,0.675219,0.573157,0.736990,0.803807
3,0.00100000,0.668162,0.588559,0.766341,0.825432
4,0.00100000,0.668903,0.593509,0.810235,0.850489
5,0.00100000,0.664111,0.597910,0.796751,0.844855
6,0.00100000,0.663631,0.583608,0.767793,0.813572
7,0.00050000,0.662917,0.559406,0.736504,0.784074
8,0.00050000,0.655173,0.556656,0.734801,0.786002
9,0.00050000,0.641003,0.581408,0.728592,0.782356
