epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.689317,0.604964,0.653537,0.695542
2,0.00120000,0.675651,0.600757,0.680023,0.689553
3,0.00120000,0.671285,0.582247,0.646371,0.663099
4,0.00120000,0.666573,0.588136,0.679261,0.703248
5,0.00060000,0.660479,0.599916,0.671795,0.689343
6,0.00060000,0.653197,0.605385,0.684091,0.698192
7,0.00060000,0.649342,0.612537,0.676458,0.697156
8,0.00060000,0.646883,0.612958,0.662058,0.689544
9,0.00030000,0.643634,0.617164,0.681421,0.705513
10,0.00030000,0.638115,0.615902,0.688347,0.705721
11,0.00030000,0.632025,0.606226,0.700261,0.704945
12,0.00030000,0.633504,0.606647,0.686975,0.697368
13,0.00030000,0.630307,0.613799,0.695428,0.701364
14,0.00015000,0.626740,0.603702,0.690366,0.692253
15,0.00015000,0.622702,0.607068,0.685787,0.689914
16,0.00015000,0.620066,0.609592,0.682048,0.681392
