epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.690453,0.606742,0.658781,0.693901
2,0.00100000,0.673297,0.608696,0.660320,0.680762
3,0.00100000,0.671030,0.609184,0.670133,0.700849
4,0.00100000,0.668891,0.611138,0.640901,0.688960
5,0.00100000,0.663612,0.591597,0.685694,0.705913
6,0.00100000,0.663901,0.599414,0.660739,0.693470
7,0.00100000,0.671190,0.567171,0.682201,0.687954
8,0.00050000,0.670870,0.545677,0.656321,0.677389
9,0.00050000,0.665545,0.563263,0.671540,0.688879
10,0.00050000,0.659475,0.565217,0.697315,0.701931
11,0.00050000,0.657005,0.563752,0.673240,0.694581
12,0.00050000,0.652210,0.594040,0.672038,0.687239
13,0.00025000,0.649798,0.589643,0.680742,0.695780
14,0.00025000,0.647165,0.599902,0.711553,0.721978
15,0.00025000,0.645772,0.595506,0.729625,0.729544
16,0.00025000,0.640595,0.605276,0.709101,0.720452
17,0.00025000,0.639281,0.587201,0.705539,0.713401
18,0.00012500,0.635992,0.594529,0.720207,0.724322
19,0.00012500,0.629147,0.600879,0.713508,0.719001
20,0.00012500,0.630853,0.611627,0.725187,0.721039
