epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00150000,0.685642,0.586673,0.761250,0.818970
2,0.00150000,0.670551,0.570641,0.719955,0.800711
3,0.00150000,0.667299,0.592685,0.779490,0.826180
4,0.00150000,0.664886,0.590681,0.797473,0.844954
5,0.00150000,0.655375,0.622244,0.763252,0.821026
6,0.00150000,0.647357,0.620240,0.768679,0.828512
7,0.00075000,0.642663,0.622244,0.788129,0.841562
8,0.00075000,0.629705,0.612224,0.791887,0.829834
9,0.00075000,0.622143,0.603707,0.715632,0.789506
10,0.00037500,0.615588,0.635772,0.769266,0.813746
