epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.689828,0.604375,0.674526,0.689116
2,0.00120000,0.670980,0.625000,0.678474,0.709841
3,0.00120000,0.666562,0.623750,0.673636,0.703255
4,0.00120000,0.664164,0.623750,0.683534,0.700492
5,0.00120000,0.661610,0.618125,0.675880,0.690380
6,0.00120000,0.661979,0.614375,0.674225,0.693309
7,0.00120000,0.659227,0.617500,0.685621,0.704866
8,0.00120000,0.654448,0.623125,0.684730,0.708895
9,0.00120000,0.651444,0.626875,0.650571,0.671573
10,0.00120000,0.645249,0.614375,0.640810,0.661283
11,0.00048000,0.639935,0.621875,0.628274,0.652706
12,0.00048000,0.623180,0.656875,0.593061,0.626762
13,0.00048000,0.612225,0.650625,0.596135,0.640854
14,0.00048000,0.605970,0.640000,0.616006,0.655764
15,0.00019200,0.594839,0.650625,0.576981,0.631253
