epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00200000,0.691154,0.544658,0.579918,0.663649
2,0.00200000,0.679272,0.563288,0.596907,0.679759
3,0.00200000,0.675976,0.573699,0.581308,0.670885
4,0.00200000,0.673453,0.595068,0.630151,0.698134
5,0.00200000,0.668889,0.570959,0.649872,0.690342
6,0.00200000,0.669320,0.620274,0.662896,0.706738
7,0.00200000,0.661047,0.632329,0.686564,0.718767
8,0.00200000,0.664822,0.588493,0.665876,0.716172
9,0.00200000,0.656753,0.609863,0.668338,0.722931
10,0.00100000,0.657323,0.569863,0.678638,0.730390
11,0.00100000,0.646237,0.568767,0.622194,0.677874
12,0.00100000,0.646138,0.587397,0.652906,0.697467
