epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.689222,0.612500,0.652846,0.678601
2,0.00120000,0.674840,0.606875,0.663103,0.683067
3,0.00120000,0.669322,0.583750,0.632861,0.659935
4,0.00120000,0.665009,0.613125,0.646493,0.669326
5,0.00120000,0.658116,0.621250,0.640665,0.675475
6,0.00048000,0.653456,0.598125,0.608250,0.657259
7,0.00048000,0.638506,0.618750,0.623793,0.663862
8,0.00048000,0.630492,0.598750,0.627717,0.665641
9,0.00048000,0.625975,0.620625,0.632833,0.662399
10,0.00019200,0.620013,0.600625,0.635218,0.664874
