factor,key,value,seed,return_code,best_epoch,best_ndcg10,best_ndcg20,best_pair_acc,last_epoch,last_train_loss,run_dir,config_path
dropout_floor,regularization.min_dropout,0.2,42,0,3,0.673539,0.699851,0.612604,8,0.655667,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.2/seed_42,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.2__seed=42.yaml
dropout_floor,regularization.min_dropout,0.2,43,0,6,0.659647,0.705287,0.595616,11,0.650334,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.2/seed_43,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.2__seed=43.yaml
dropout_floor,regularization.min_dropout,0.2,44,0,5,0.818479,0.855531,0.620462,10,0.629779,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.2/seed_44,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.2__seed=44.yaml
dropout_floor,regularization.min_dropout,0.25,42,0,2,0.673714,0.697761,0.617489,7,0.661709,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.25/seed_42,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.25__seed=42.yaml
dropout_floor,regularization.min_dropout,0.25,43,0,6,0.690515,0.732015,0.625205,11,0.624021,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.25/seed_43,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.25__seed=43.yaml
dropout_floor,regularization.min_dropout,0.25,44,0,5,0.805361,0.851318,0.613311,10,0.628002,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.25/seed_44,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.25__seed=44.yaml
dropout_floor,regularization.min_dropout,0.3,42,0,5,0.692241,0.695719,0.623351,10,0.654722,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.3/seed_42,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.3__seed=42.yaml
dropout_floor,regularization.min_dropout,0.3,43,0,14,0.688753,0.721228,0.630685,19,0.605944,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.3/seed_43,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.3__seed=43.yaml
dropout_floor,regularization.min_dropout,0.3,44,0,4,0.772772,0.826558,0.59571,9,0.646113,outputs/ablation/ablation_20260318_161916/runs/dropout_floor/value_0.3/seed_44,outputs/ablation/ablation_20260318_161916/configs/dropout_floor__regularization.min_dropout=0.3__seed=44.yaml
