factor,key,value,seed,return_code,best_epoch,best_ndcg10,best_ndcg20,best_pair_acc,last_epoch,last_train_loss,run_dir,config_path
weight_decay_floor,regularization.min_weight_decay,0.0003,42,0,5,0.67195,0.66421,0.598437,10,0.646639,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0003/seed_42,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0003__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.0003,43,0,8,0.678807,0.728389,0.585205,13,0.619572,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0003/seed_43,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0003__seed=43.yaml
weight_decay_floor,regularization.min_weight_decay,0.0003,44,0,4,0.810235,0.850489,0.593509,9,0.641003,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0003/seed_44,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0003__seed=44.yaml
weight_decay_floor,regularization.min_weight_decay,0.0005,42,0,15,0.729625,0.729544,0.595506,20,0.630853,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0005/seed_42,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0005__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.0005,43,0,14,0.717345,0.7472,0.596164,19,0.573375,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0005/seed_43,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0005__seed=43.yaml
weight_decay_floor,regularization.min_weight_decay,0.0005,44,0,5,0.806886,0.858902,0.605061,10,0.636209,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0005/seed_44,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0005__seed=44.yaml
weight_decay_floor,regularization.min_weight_decay,0.0008,42,0,5,0.672132,0.68668,0.595017,8,0.65742,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0008/seed_42,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0008__seed=42.yaml
weight_decay_floor,regularization.min_weight_decay,0.0008,43,0,12,0.710966,0.731686,0.57863,17,0.57984,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0008/seed_43,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0008__seed=43.yaml
weight_decay_floor,regularization.min_weight_decay,0.0008,44,0,5,0.821484,0.862115,0.605061,10,0.63661,outputs/ablation/ablation_20260318_161916/runs/weight_decay_floor/value_0.0008/seed_44,outputs/ablation/ablation_20260318_161916/configs/weight_decay_floor__regularization.min_weight_decay=0.0008__seed=44.yaml
