epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00100000,0.690502,0.607230,0.660859,0.694292
2,0.00100000,0.673013,0.612604,0.669897,0.691206
3,0.00100000,0.671601,0.615535,0.668934,0.696794
4,0.00100000,0.669679,0.612115,0.643470,0.682720
5,0.00100000,0.664851,0.598437,0.671950,0.664210
6,0.00100000,0.666078,0.585735,0.649920,0.692247
7,0.00100000,0.662773,0.595994,0.634411,0.677216
8,0.00050000,0.658149,0.613092,0.650080,0.676645
9,0.00050000,0.652549,0.603810,0.629250,0.675262
10,0.00050000,0.646639,0.615535,0.648230,0.685110
